0,1,2,3,4,5,6,7,8,9,10,11,12
Job Name,Environment,Description,Policy Name,Days to Keep,Extended Retention,Source Name,Snapshot Deleted,Total Bytes Read,Total Logical Backup Size,Replication Target,Latest Backup Run Status,Previous Backup Status
Infrastructure LAB VMs - DO NOT TOUCH,kVMware,,Bronze,30,90,"['PassResetWIN8', 'ZABBIXPROD', 'sac01-sre-dc01', 'sac01-sre-dc02-sre.local', 'smartlabsaws_control_vm', 'smartlabsdev', 'smartlabsprod']",False,0,0,No Replicatoin Cluster,kCanceled,kSuccess
PS_LAB-VMs DO NOT TOUCH,kVMware,,Bronze,30,90,"['psapilnx', 'psmidserver', 'psapiwin']",False,1499529216,268435456000,No Replicatoin Cluster,kSuccess,kSuccess
Template_Store,kView,,COLO_NFS_DS_Daily,30,No extended retention,['Template_Store'],True,0,4359289187661,No Replicatoin Cluster,kSuccess,kSuccess
gregtest,kView,,Bronze,30,90,['GregTest'],True,0,0,No Replicatoin Cluster,kSuccess,kSuccess
10.26.0.25-savagetest2,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.0.25\\savagetest2'],False,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.0.25-savagetest3,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.0.25\\savagetest3'],False,0,0,No Replicatoin Cluster,kFailure,kFailure
TomsTest1,kView,,tompolicyrep,14,No extended retention,['tomtest1'],False,0,0,No Replicatoin Cluster,kSuccess,kSuccess
TomsTest2,kView,,tompolicyrep,14,No extended retention,['tomtest2'],False,0,0,No Replicatoin Cluster,kSuccess,kSuccess
VMreporting1,kVMware,,Bronze,30,90,[],False,107374182400,107374182400,No Replicatoin Cluster,kSuccess,No Previous Run Found
VMreporting2,kVMware,,Bronze,30,90,[],False,107374182400,107374182400,No Replicatoin Cluster,kSuccess,No Previous Run Found
jesstest,kView,,test,14,No extended retention,['jesstest2'],False,0,0,No Replicatoin Cluster,kSuccess,kSuccess
10.26.1.78-fccitest-01,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\fccitest-01'],False,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-fccitest-02,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\fccitest-02'],False,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-fccitest-03,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\fccitest-03'],False,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-fccitest-04,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\fccitest-04'],False,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-dtcctest,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\dtcctest'],False,0,0,No Replicatoin Cluster,kFailure,kFailure
fccitest-02,kView,,Savage_replicate,14,No extended retention,['fccitest-02'],False,0,0,AshishCluster,kSuccess,kSuccess
fccitest-03,kView,,Savage_replicate,14,No extended retention,['fccitest-03'],False,0,0,No Replicatoin Cluster,kSuccess,kSuccess
fccitest-04,kView,,Savage_replicate,14,No extended retention,['fccitest-04'],False,0,0,No Replicatoin Cluster,kSuccess,kSuccess
10.26.1.78-share,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\share'],False,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-IR2014PRD,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IR2014PRD'],False,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-IR2015PRD,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IR2015PRD'],False,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-IR2016PRD,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IR2016PRD'],False,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-IR2017PRD,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IR2017PRD'],False,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-IR2018PRD,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IR2018PRD'],False,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-IR2019PRD,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IR2019PRD'],False,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-IR2020PRD,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IR2020PRD'],False,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-IR2021PRD,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\IR2021PRD'],False,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-EIPIR,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\EIPIR'],False,0,0,No Replicatoin Cluster,kFailure,kFailure
10.26.1.78-EIPPROD,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\EIPPROD'],False,0,0,No Replicatoin Cluster,kFailure,kFailure
