0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Job Name,Environment,Description,Current Date,Policy Name,Days to Keep,Extended Retention,Source Name,Snapshot Deleted,Job Start Time,Job End Time,Total GiB Read,Total GiB Written,Total Logical Size in  GiB,Replication Target,Latest Backup Run Status,Previous Backup Status,Previous Job Start Time,Previous Job End Time,Previous Total GiB Written
Infrastructure LAB VMs - DO NOT TOUCH,kVMware,,11-29-2021,Bronze,30,90,"['PassResetWIN8', 'ZABBIXPROD', 'sac01-sre-dc01', 'sac01-sre-dc02-sre.local', 'smartlabsaws_control_vm', 'smartlabsdev', 'smartlabsprod']",False,11-29-2021 00:30:01,11-29-2021 00:45:09,16.63031005859375,3.7873628605157137,660.0,No Replicatoin Cluster,kSuccess,kSuccess,11-28-2021 00:30:01,11-28-2021 00:36:53,4.011819158680737
PS_LAB-VMs DO NOT TOUCH,kVMware,,11-29-2021,Bronze,30,90,"['psapilnx', 'psmidserver', 'psapiwin']",False,11-29-2021 00:08:02,11-29-2021 00:09:13,1.1868896484375,0.08184958435595036,250.0,No Replicatoin Cluster,kSuccess,kSuccess,11-28-2021 00:08:00,11-28-2021 00:09:24,0.11198030412197113
Template_Store,kView,,11-29-2021,COLO_NFS_DS_Daily,30,No extended retention,['Template_Store'],True,04-28-2021 10:47:31,04-28-2021 10:47:35,0.0,0,4059.9044297458604,No Replicatoin Cluster,kSuccess,kSuccess,04-28-2021 10:12:53,04-28-2021 10:12:56,0
gregtest,kView,,11-29-2021,Bronze,30,90,['GregTest'],True,07-18-2021 13:17:01,07-18-2021 13:17:05,0.0,0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,07-08-2021 13:17:53,07-08-2021 13:17:58,0
10.26.0.25-savagetest2,kGenericNas,,11-29-2021,Savage_replicate,14,No extended retention,['\\\\10.26.0.25\\savagetest2'],False,11-29-2021 11:25:00,11-29-2021 11:42:44,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-28-2021 11:25:00,11-28-2021 11:42:50,0.0
10.26.0.25-savagetest3,kGenericNas,,11-29-2021,Savage_replicate,14,No extended retention,['\\\\10.26.0.25\\savagetest3'],False,11-29-2021 11:25:00,11-29-2021 11:42:44,0.0,0.0,0.0,No Replicatoin Cluster,kFailure,kFailure,11-28-2021 11:25:00,11-28-2021 11:42:48,0.0
TomsTest1,kView,,11-29-2021,tompolicyrep,14,No extended retention,['tomtest1'],False,11-28-2021 18:26:01,11-28-2021 18:26:06,0.0,0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 18:26:02,11-27-2021 18:26:06,0
TomsTest2,kView,,11-29-2021,tompolicyrep,14,No extended retention,['tomtest2'],False,11-28-2021 18:28:00,11-28-2021 18:28:05,0.0,0,0.0,No Replicatoin Cluster,kSuccess,kSuccess,11-27-2021 18:28:01,11-27-2021 18:28:05,0
VMreporting1,kVMware,,11-29-2021,Bronze,30,90,[],False,08-02-2021 23:10:09,08-02-2021 23:35:25,100.0,0.8022016221657395,100.0,No Replicatoin Cluster,kSuccess,No Previous Run Found,,,
