Job Name,Environment,Description,Policy Name,Days to Keep,Extended Retention,Source Name,Snapshot Deleted,Job Start Time,Job End Time,Total Bytes Read,Total Logical Backup Size,Replication Target,Latest Backup Run Status,Previous Backup Status,Previous Job Start Time
Infrastructure LAB VMs - DO NOT TOUCH,kVMware,,Bronze,30,90,"['PassResetWIN8', 'ZABBIXPROD', 'sac01-sre-dc01', 'sac01-sre-dc02-sre.local', 'smartlabsaws_control_vm', 'smartlabsdev', 'smartlabsprod']",False,11-20-2021 00:30:00,11-20-2021 00:41:42,18625265664,708669603840,No Replicatoin Cluster,kSuccess,kCanceled,11-19-2021 10:15:57
PS_LAB-VMs DO NOT TOUCH,kVMware,,Bronze,30,90,"['psapilnx', 'psmidserver', 'psapiwin']",False,11-20-2021 00:08:00,11-20-2021 00:09:18,1396768768,268435456000,No Replicatoin Cluster,kSuccess,kSuccess,11-19-2021 00:08:00
Template_Store,kView,,COLO_NFS_DS_Daily,30,No extended retention,['Template_Store'],True,04-28-2021 10:47:31,04-28-2021 10:47:35,0,4359289187661,No Replicatoin Cluster,kSuccess,kSuccess,04-28-2021 10:12:53
gregtest,kView,,Bronze,30,90,['GregTest'],True,07-18-2021 13:17:01,07-18-2021 13:17:05,0,0,No Replicatoin Cluster,kSuccess,kSuccess,07-08-2021 13:17:53
10.26.0.25-savagetest2,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.0.25\\savagetest2'],False,11-20-2021 11:25:02,11-20-2021 11:42:44,0,0,No Replicatoin Cluster,kFailure,kFailure,11-19-2021 11:25:01
10.26.0.25-savagetest3,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.0.25\\savagetest3'],False,11-20-2021 11:25:02,11-20-2021 11:42:46,0,0,No Replicatoin Cluster,kFailure,kFailure,11-19-2021 11:25:01
TomsTest1,kView,,tompolicyrep,14,No extended retention,['tomtest1'],False,11-20-2021 18:26:01,11-20-2021 18:26:06,0,0,AshishCluster,kSuccess,kSuccess,11-19-2021 18:26:00
TomsTest2,kView,,tompolicyrep,14,No extended retention,['tomtest2'],False,11-20-2021 18:28:01,11-20-2021 18:28:05,0,0,AshishCluster,kSuccess,kSuccess,11-19-2021 18:28:01
VMreporting1,kVMware,,Bronze,30,90,[],False,08-02-2021 23:10:09,08-02-2021 23:35:25,107374182400,107374182400,No Replicatoin Cluster,kSuccess,No Previous Run Found,
VMreporting2,kVMware,,Bronze,30,90,[],False,08-02-2021 23:11:15,08-03-2021 00:02:12,107374182400,107374182400,No Replicatoin Cluster,kSuccess,No Previous Run Found,
jesstest,kView,,test,14,No extended retention,['jesstest2'],False,11-20-2021 10:31:02,11-20-2021 10:31:07,0,0,No Replicatoin Cluster,kSuccess,kSuccess,11-19-2021 10:31:00
10.26.1.78-fccitest-01,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\fccitest-01'],False,11-20-2021 11:02:00,11-20-2021 11:19:49,0,0,No Replicatoin Cluster,kFailure,kFailure,11-19-2021 11:02:00
10.26.1.78-fccitest-02,kGenericNas,,Savage_replicate,14,No extended retention,['\\\\10.26.1.78\\fccitest-02'],False,11-20-2021 11:02:00,11-20-2021 11:19:51,0,0,No Replicatoin Cluster,kFailure,kFailure,11-19-2021 11:02:00
